Designator,Mid X,Mid Y,Rotation,Layer
C1,67.12206,114.954948,87.567568,top
C10,101.097805,99.596943,43.783784,top
C100,33.5,52.05,180.0,top
C11,103.901788,96.411,38.918919,top
C12,106.425482,92.998739,34.054054,top
C13,108.650706,89.384747,29.189189,top
C14,110.561425,85.595062,24.324324,top
C15,112.143872,81.65699,19.459459,top
C16,113.386647,77.598903,14.594595,top
C17,114.280796,73.450041,9.72973,top
C18,114.819874,69.240296,4.864865,top
C19,115.0,65.0,0.0,top
C2,71.350891,114.595022,82.702703,top
C20,114.819874,60.759704,355.135135,top
C21,114.280796,56.549959,350.27027,top
C22,113.386647,52.401097,345.405405,top
C23,112.143872,48.34301,340.540541,top
C24,110.561425,44.404938,335.675676,top
C25,108.650706,40.615253,330.810811,top
C26,106.425482,37.001261,325.945946,top
C27,103.901788,33.589,321.081081,top
C28,101.097805,30.403057,316.21621600000003,top
C29,98.033736,27.466385,311.351351,top
C3,75.533963,113.877762,77.837838,top
C30,94.731659,24.800143,306.486486,top
C31,91.215364,22.423543,301.621622,top
C32,87.510187,20.353707,296.756757,top
C33,83.642824,18.605549,291.891892,top
C34,79.641139,17.191663,287.027027,top
C35,75.533963,16.122238,282.16216199999997,top
C36,71.350891,15.404978,277.297297,top
C37,67.12206,15.045052,272.432432,top
C38,62.87794,15.045052,267.567568,top
C39,58.649109,15.404978,262.702703,top
C4,79.641139,112.808337,72.972973,top
C40,54.466037,16.122238,257.83783800000003,top
C41,50.358861,17.191663,252.972973,top
C42,46.357176,18.605549,248.10810800000002,top
C43,42.489813,20.353707,243.243243,top
C44,38.784636,22.423543,238.378378,top
C45,35.268341,24.800143,233.513514,top
C46,31.966264,27.466385,228.648649,top
C47,28.902195,30.403057,223.783784,top
C48,26.098212,33.589,218.918919,top
C49,23.574518,37.001261,214.054054,top
C5,83.642824,111.394451,68.108108,top
C50,21.349294,40.615253,209.189189,top
C51,19.438575,44.404938,204.324324,top
C52,17.856128,48.34301,199.459459,top
C53,16.613353,52.401097,194.594595,top
C54,15.719204,56.549959,189.72973,top
C55,15.180126,60.759704,184.864865,top
C56,15.0,65.0,180.0,top
C57,15.180126,69.240296,175.135135,top
C58,15.719204,73.450041,170.27027,top
C59,16.613353,77.598903,165.405405,top
C6,87.510187,109.646293,63.243243,top
C60,17.856128,81.65699,160.540541,top
C61,19.438575,85.595062,155.675676,top
C62,21.349294,89.384747,150.810811,top
C63,23.574518,92.998739,145.945946,top
C64,26.098212,96.411,141.081081,top
C65,28.902195,99.596943,136.216216,top
C66,31.966264,102.533615,131.351351,top
C67,35.268341,105.199857,126.486486,top
C68,38.784636,107.576457,121.621622,top
C69,42.489813,109.646293,116.756757,top
C7,91.215364,107.576457,58.378378,top
C70,46.357176,111.394451,111.891892,top
C71,50.358861,112.808337,107.027027,top
C72,54.466037,113.877762,102.162162,top
C73,58.649109,114.595022,97.297297,top
C74,62.87794,114.954948,92.432432,top
C75,55.0,97.15,0.0,top
C76,55.0,82.85,0.0,top
C77,57.0,97.15,0.0,top
C78,57.0,82.85,0.0,top
C79,59.0,97.15,0.0,top
C8,94.731659,105.199857,53.513514,top
C80,59.0,82.85,0.0,top
C81,61.0,97.15,0.0,top
C82,61.0,82.85,0.0,top
C83,63.0,97.15,0.0,top
C84,63.0,82.85,0.0,top
C85,65.0,97.15,0.0,top
C86,65.0,82.85,0.0,top
C87,67.0,97.15,0.0,top
C88,67.0,82.85,0.0,top
C89,69.0,97.15,0.0,top
C9,98.033736,102.533615,48.648649,top
C90,69.0,82.85,0.0,top
C91,71.0,97.15,0.0,top
C92,71.0,82.85,0.0,top
C93,73.0,97.15,0.0,top
C94,73.0,82.85,0.0,top
C95,75.0,97.15,0.0,top
C96,75.0,82.85,0.0,top
C97,56.75,70.6,90.0,top
C98,56.75,67.8,270.0,top
C99,73.4,71.6,90.0,top
D1,65.0,115.0,225.0,top
D10,99.596943,101.097805,181.216216,top
D100,61.0,88.0,135.0,top
D101,61.0,86.0,135.0,top
D102,61.0,84.0,135.0,top
D103,63.0,96.0,135.0,top
D104,63.0,94.0,135.0,top
D105,63.0,92.0,135.0,top
D106,63.0,90.0,135.0,top
D107,63.0,88.0,135.0,top
D108,63.0,86.0,135.0,top
D109,63.0,84.0,135.0,top
D11,102.533615,98.033736,176.351351,top
D110,65.0,96.0,135.0,top
D111,65.0,94.0,135.0,top
D112,65.0,92.0,135.0,top
D113,65.0,90.0,135.0,top
D114,65.0,88.0,135.0,top
D115,65.0,86.0,135.0,top
D116,65.0,84.0,135.0,top
D117,67.0,96.0,135.0,top
D118,67.0,94.0,135.0,top
D119,67.0,92.0,135.0,top
D12,105.199857,94.731659,171.486486,top
D120,67.0,90.0,135.0,top
D121,67.0,88.0,135.0,top
D122,67.0,86.0,135.0,top
D123,67.0,84.0,135.0,top
D124,69.0,96.0,135.0,top
D125,69.0,94.0,135.0,top
D126,69.0,92.0,135.0,top
D127,69.0,90.0,135.0,top
D128,69.0,88.0,135.0,top
D129,69.0,86.0,135.0,top
D13,107.576457,91.215364,166.621622,top
D130,69.0,84.0,135.0,top
D131,71.0,96.0,135.0,top
D132,71.0,94.0,135.0,top
D133,71.0,92.0,135.0,top
D134,71.0,90.0,135.0,top
D135,71.0,88.0,135.0,top
D136,71.0,86.0,135.0,top
D137,71.0,84.0,135.0,top
D138,73.0,96.0,135.0,top
D139,73.0,94.0,135.0,top
D14,109.646293,87.510187,161.756757,top
D140,73.0,92.0,135.0,top
D141,73.0,90.0,135.0,top
D142,73.0,88.0,135.0,top
D143,73.0,86.0,135.0,top
D144,73.0,84.0,135.0,top
D145,75.0,96.0,135.0,top
D146,75.0,94.0,135.0,top
D147,75.0,92.0,135.0,top
D148,75.0,90.0,135.0,top
D149,75.0,88.0,135.0,top
D15,111.394451,83.642824,156.891892,top
D150,75.0,86.0,135.0,top
D151,75.0,84.0,135.0,top
D152,32.85,49.5,180.0,top
D153,43.6,63.8,90.0,top
D154,86.3,63.7,90.0,top
D16,112.808337,79.641139,152.027027,top
D17,113.877762,75.533963,147.162162,top
D18,114.595022,71.350891,142.297297,top
D19,114.954948,67.12206,137.432432,top
D2,69.240296,114.819874,220.135135,top
D20,114.954948,62.87794,132.567568,top
D21,114.595022,58.649109,127.702703,top
D22,113.877762,54.466037,122.837838,top
D23,112.808337,50.358861,117.972973,top
D24,111.394451,46.357176,113.108108,top
D25,109.646293,42.489813,108.243243,top
D26,107.576457,38.784636,103.378378,top
D27,105.199857,35.268341,98.513514,top
D28,102.533615,31.966264,93.648649,top
D29,99.596943,28.902195,88.783784,top
D3,73.450041,114.280796,215.27027,top
D30,96.411,26.098212,83.918919,top
D31,92.998739,23.574518,79.054054,top
D32,89.384747,21.349294,74.189189,top
D33,85.595062,19.438575,69.324324,top
D34,81.65699,17.856128,64.459459,top
D35,77.598903,16.613353,59.594595,top
D36,73.450041,15.719204,54.72973,top
D37,69.240296,15.180126,49.864865,top
D38,65.0,15.0,45.0,top
D39,60.759704,15.180126,40.135135,top
D4,77.598903,113.386647,210.405405,top
D40,56.549959,15.719204,35.27027,top
D41,52.401097,16.613353,30.405405,top
D42,48.34301,17.856128,25.540541,top
D43,44.404938,19.438575,20.675676,top
D44,40.615253,21.349294,15.810811,top
D45,37.001261,23.574518,10.945946,top
D46,33.589,26.098212,6.081081,top
D47,30.403057,28.902195,1.216216,top
D48,27.466385,31.966264,356.351351,top
D49,24.800143,35.268341,351.486486,top
D5,81.65699,112.143872,205.540541,top
D50,22.423543,38.784636,346.621622,top
D51,20.353707,42.489813,341.756757,top
D52,18.605549,46.357176,336.891892,top
D53,17.191663,50.358861,332.027027,top
D54,16.122238,54.466037,327.162162,top
D55,15.404978,58.649109,322.297297,top
D56,15.045052,62.87794,317.432432,top
D57,15.045052,67.12206,312.567568,top
D58,15.404978,71.350891,307.702703,top
